column,in_eua,in_bla,status
ARMCD,TRUE,TRUE,common
BLDV1DT,TRUE,TRUE,common
BLDV1FL,TRUE,TRUE,common
BLDV2DT,TRUE,TRUE,common
BLDV2FL,TRUE,TRUE,common
BLDV3ADT,TRUE,TRUE,common
BLDV3DT,TRUE,TRUE,common
BLDV3FL,TRUE,TRUE,common
BLDV4ADT,TRUE,TRUE,common
BLDV4DT,TRUE,TRUE,common
BLDV4FL,TRUE,TRUE,common
BLDV5ADT,TRUE,TRUE,common
BLDV5DT,TRUE,TRUE,common
BLDV5FL,TRUE,TRUE,common
BLDV6DT,TRUE,TRUE,common
BLDV6FL,TRUE,TRUE,common
BLDV7DT,TRUE,TRUE,common
BLDV7FL,TRUE,TRUE,common
BMICAT,TRUE,TRUE,common
BMICATN,TRUE,TRUE,common
BRTHDTF,TRUE,TRUE,common
COHORT,TRUE,TRUE,common
COHORTN,TRUE,TRUE,common
COMBODFL,TRUE,TRUE,common
COUNTRY,TRUE,TRUE,common
COVBLST,TRUE,TRUE,common
DOSALVL,TRUE,TRUE,common
DOSALVLN,TRUE,TRUE,common
DOSPLVL,TRUE,TRUE,common
DOSPLVLN,TRUE,TRUE,common
DS30KFL,TRUE,TRUE,common
DTHDT,TRUE,TRUE,common
DTHDTC,TRUE,TRUE,common
DTHDTF,TRUE,TRUE,common
DTHFL,TRUE,TRUE,common
DVSTDT,TRUE,TRUE,common
ENRLFL,TRUE,TRUE,common
EOSDCDT,TRUE,TRUE,common
EOSDCRS,TRUE,TRUE,common
EOTDCDT,TRUE,TRUE,common
EOTDCRS,TRUE,TRUE,common
ETHNIC,TRUE,TRUE,common
ETHNICN,TRUE,TRUE,common
EVAL01FL,TRUE,TRUE,common
EVAL02FL,TRUE,TRUE,common
EVALEFFL,TRUE,TRUE,common
EXCL1FL,TRUE,TRUE,common
EXCL2FL,TRUE,TRUE,common
EXCL3FL,TRUE,TRUE,common
EXCL4FL,TRUE,TRUE,common
EXCL5FL,TRUE,TRUE,common
EXCL6FL,TRUE,TRUE,common
EXCL7FL,TRUE,TRUE,common
EXCL8FL,TRUE,TRUE,common
EXCL9FL,TRUE,TRUE,common
EXCRIT1,TRUE,TRUE,common
EXCRIT2,TRUE,TRUE,common
EXCRIT3,TRUE,TRUE,common
EXCRIT4,TRUE,TRUE,common
EXCRIT5,TRUE,TRUE,common
EXCRIT6,TRUE,TRUE,common
EXCRIT7,TRUE,TRUE,common
EXCRIT8,TRUE,TRUE,common
EXCRIT9,TRUE,TRUE,common
INCL1FL,TRUE,TRUE,common
INCL2FL,TRUE,TRUE,common
INCL3FL,TRUE,TRUE,common
INCL4FL,TRUE,TRUE,common
INCL5FL,TRUE,TRUE,common
INCL6FL,TRUE,TRUE,common
INCL7FL,TRUE,TRUE,common
INCL8FL,TRUE,TRUE,common
INCL9FL,TRUE,TRUE,common
INVID,TRUE,TRUE,common
INVNAM,TRUE,TRUE,common
JPNFL,TRUE,TRUE,common
MULENRFL,TRUE,TRUE,common
NAATNFL,TRUE,TRUE,common
NIGV1FL,TRUE,TRUE,common
PHASE,TRUE,TRUE,common
PHASEN,TRUE,TRUE,common
RACE,TRUE,TRUE,common
RACEGR1,TRUE,TRUE,common
RACEGR1N,TRUE,TRUE,common
RACEN,TRUE,TRUE,common
RANDDT,TRUE,TRUE,common
RANDFL,TRUE,TRUE,common
RANDNO,TRUE,TRUE,common
RFENDT,TRUE,TRUE,common
RFENTM,TRUE,TRUE,common
RFICDT,TRUE,TRUE,common
RFPENDT,TRUE,TRUE,common
RFSTDT,TRUE,TRUE,common
RFSTTM,TRUE,TRUE,common
SAFFL,TRUE,TRUE,common
SCREEN,TRUE,TRUE,common
SEX,TRUE,TRUE,common
SEXN,TRUE,TRUE,common
SITEID,TRUE,TRUE,common
STUDYID,TRUE,TRUE,common
SUBJID,TRUE,TRUE,common
TR01EDT,TRUE,TRUE,common
TR01EDTM,TRUE,TRUE,common
TR01ETM,TRUE,TRUE,common
TR01SDT,TRUE,TRUE,common
TR01SDTM,TRUE,TRUE,common
TR01STM,TRUE,TRUE,common
TRT01A,TRUE,TRUE,common
TRT01AN,TRUE,TRUE,common
TRT01P,TRUE,TRUE,common
TRT01PN,TRUE,TRUE,common
TRTEDT,TRUE,TRUE,common
TRTEDTM,TRUE,TRUE,common
TRTETM,TRUE,TRUE,common
TRTSDT,TRUE,TRUE,common
TRTSDTM,TRUE,TRUE,common
TRTSTM,TRUE,TRUE,common
USUBJID,TRUE,TRUE,common
V01DT,TRUE,TRUE,common
V02DT,TRUE,TRUE,common
VAX101,TRUE,TRUE,common
VAX101DT,TRUE,TRUE,common
VAX102,TRUE,TRUE,common
VAX102DT,TRUE,TRUE,common
