state,year,month,age_group,deaths,population,daily_chance_to_die,days_in_month
Alabama,2020,03,10-14 years,0,324611,0,31
Alabama,2020,03,15-19 years,15,334621,1.4460269013060612e-6,31
Alabama,2020,03,20-24 years,40,340893,3.785124894454158e-6,31
Alabama,2020,03,25-29 years,46,330296,4.492549009803133e-6,31
Alabama,2020,03,30-34 years,69,322479,6.902174875303208e-6,31
Alabama,2020,03,35-39 years,83,311120,8.605744904984282e-6,31
Alabama,2020,03,40-44 years,87,301617,9.304686449713464e-6,31
Alabama,2020,03,45-49 years,140,310445,1.4547275788813041e-5,31
Alabama,2020,03,50-54 years,195,314657,1.9991046061728046e-5,31
Alabama,2020,03,55-59 years,319,341389,3.01425136153923e-5,31
Alabama,2020,03,60-64 years,400,329933,3.9108624497857485e-5,31
Alabama,2020,03,65-69 years,490,286006,5.526615390202732e-5,31
Alabama,2020,03,70-74 years,585,236378,7.983385823526506e-5,31
Alabama,2020,03,75-79 years,611,158085,1.2467772033624214e-4,31
Alabama,2020,03,80-84 years,591,102234,1.8647921561351663e-4,31
Alabama,2020,03,85+ years,1171,92869,4.067470689722846e-4,31
Alabama,2020,09,10-14 years,0,324611,0,30
Alabama,2020,09,15-19 years,22,334621,2.191534103757186e-6,30
Alabama,2020,09,20-24 years,36,340893,3.520166151842367e-6,30
Alabama,2020,09,25-29 years,40,330296,4.036783168228902e-6,30
Alabama,2020,09,30-34 years,58,322479,5.995222427920371e-6,30
Alabama,2020,09,35-39 years,83,311120,8.892603068483757e-6,30
Alabama,2020,09,40-44 years,98,301617,1.0830512426907855e-5,30
Alabama,2020,09,45-49 years,138,310445,1.4817439482033855e-5,30
Alabama,2020,09,50-54 years,201,314657,2.1293027010363666e-5,30
Alabama,2020,09,55-59 years,329,341389,3.212366733159729e-5,30
Alabama,2020,09,60-64 years,445,329933,4.4958622912328664e-5,30
Alabama,2020,09,65-69 years,514,286006,5.9905503147952606e-5,30
Alabama,2020,09,70-74 years,661,236378,9.321228427913483e-5,30
Alabama,2020,09,75-79 years,645,158085,1.3600278331277478e-4,30
Alabama,2020,09,80-84 years,634,102234,2.0671531323564893e-4,30
Alabama,2020,09,85+ years,1272,92869,4.5655708578750716e-4,30
Alabama,2020,04,10-14 years,0,324611,0,30
Alabama,2020,04,15-19 years,20,334621,1.992303730688351e-6,30
Alabama,2020,04,20-24 years,38,340893,3.715730938055832e-6,30
Alabama,2020,04,25-29 years,48,330296,4.844139801874682e-6,30
Alabama,2020,04,30-34 years,55,322479,5.685124716131386e-6,30
Alabama,2020,04,35-39 years,73,311120,7.821205108425473e-6,30
Alabama,2020,04,40-44 years,106,301617,1.1714635890328905e-5,30
Alabama,2020,04,45-49 years,134,310445,1.4387948482554612e-5,30
Alabama,2020,04,50-54 years,193,314657,2.044554334825964e-5,30
Alabama,2020,04,55-59 years,292,341389,2.8510975260870542e-5,30
Alabama,2020,04,60-64 years,429,329933,4.3342133099750554e-5,30
Alabama,2020,04,65-69 years,496,286006,5.780764506105933e-5,30
Alabama,2020,04,70-74 years,587,236378,8.277702098616059e-5,30
Alabama,2020,04,75-79 years,626,158085,1.319964997733287e-4,30
Alabama,2020,04,80-84 years,616,102234,2.008464242163403e-4,30
Alabama,2020,04,85+ years,1195,92869,4.289195892421942e-4,30
Alabama,2020,08,10-14 years,0,324611,0,31
Alabama,2020,08,15-19 years,28,334621,2.699250215771314e-6,31
Alabama,2020,08,20-24 years,43,340893,4.06900926153822e-6,31
Alabama,2020,08,25-29 years,55,330296,5.371525989982006e-6,31
Alabama,2020,08,30-34 years,81,322479,8.102553114486375e-6,31
Alabama,2020,08,35-39 years,99,311120,1.026468368184872e-5,31
Alabama,2020,08,40-44 years,120,301617,1.2834050275466847e-5,31
Alabama,2020,08,45-49 years,158,310445,1.6417639818803287e-5,31
Alabama,2020,08,50-54 years,219,314657,2.2451482500094572e-5,31
Alabama,2020,08,55-59 years,361,341389,3.411112042368846e-5,31
Alabama,2020,08,60-64 years,518,329933,5.064566872472544e-5,31
Alabama,2020,08,65-69 years,547,286006,6.169507384573255e-5,31
Alabama,2020,08,70-74 years,712,236378,9.716531121967303e-5,31
Alabama,2020,08,75-79 years,740,158085,1.5100083968710176e-4,31
Alabama,2020,08,80-84 years,785,102234,2.476923591482412e-4,31
Alabama,2020,08,85+ years,1376,92869,4.779538573064591e-4,31
Alabama,2020,11,10-14 years,0,324611,0,30
Alabama,2020,11,15-19 years,20,334621,1.992303730688351e-6,30
Alabama,2020,11,20-24 years,38,340893,3.715730938055832e-6,30
Alabama,2020,11,25-29 years,54,330296,5.449657277109017e-6,30
Alabama,2020,11,30-34 years,78,322479,8.062540506513602e-6,30
Alabama,2020,11,35-39 years,88,311120,9.4283020485129e-6,30
Alabama,2020,11,40-44 years,109,301617,1.2046182189111799e-5,30
Alabama,2020,11,45-49 years,131,310445,1.406583023294518e-5,30
Alabama,2020,11,50-54 years,208,314657,2.2034575214704687e-5,30
Alabama,2020,11,55-59 years,326,341389,3.1830746352889714e-5,30
Alabama,2020,11,60-64 years,489,329933,4.940396989691846e-5,30
Alabama,2020,11,65-69 years,602,286006,7.016169823943087e-5,30
Alabama,2020,11,70-74 years,714,236378,1.0068618907004882e-4,30
Alabama,2020,11,75-79 years,688,158085,1.4506963553362643e-4,30
Alabama,2020,11,80-84 years,743,102234,2.422546967414624e-4,30
Alabama,2020,11,85+ years,1350,92869,4.8455351085938255e-4,30
Alabama,2020,NA,10-14 years,0,324611,0,31
Alabama,2020,NA,15-19 years,0,334621,0,31
Alabama,2020,NA,20-24 years,0,340893,0,31
Alabama,2020,NA,25-29 years,0,330296,0,31
Alabama,2020,NA,30-34 years,0,322479,0,31
Alabama,2020,NA,35-39 years,0,311120,0,31
Alabama,2020,NA,40-44 years,0,301617,0,31
Alabama,2020,NA,45-49 years,0,310445,0,31
Alabama,2020,NA,50-54 years,0,314657,0,31
Alabama,2020,NA,55-59 years,0,341389,0,31
Alabama,2020,NA,60-64 years,0,329933,0,31
Alabama,2020,NA,65-69 years,0,286006,0,31
Alabama,2020,NA,70-74 years,0,236378,0,31
Alabama,2020,NA,75-79 years,0,158085,0,31
Alabama,2020,NA,80-84 years,0,102234,0,31
Alabama,2020,NA,85+ years,0,92869,0,31
Alabama,2021,01,10-14 years,0,322310,0,31
Alabama,2021,01,15-19 years,23,332610,2.230646955506352e-6,31
Alabama,2021,01,20-24 years,53,351850,4.859108766107258e-6,31
Alabama,2021,01,25-29 years,65,324479,6.461971941322511e-6,31
Alabama,2021,01,30-34 years,64,330321,6.250029907369674e-6,31
Alabama,2021,01,35-39 years,104,310540,1.0803241803559668e-5,31
Alabama,2021,01,40-44 years,143,306954,1.5027995158253195e-5,31
Alabama,2021,01,45-49 years,179,300011,1.9246606119065957e-5,31
Alabama,2021,01,50-54 years,295,318776,2.985208746034226e-5,31
Alabama,2021,01,55-59 years,509,333875,4.917815002234272e-5,31
Alabama,2021,01,60-64 years,694,331923,6.744665712889298e-5,31
Alabama,2021,01,65-69 years,797,291134,8.830874243253911e-5,31
Alabama,2021,01,70-74 years,1058,245537,1.3899751262768753e-4,31
Alabama,2021,01,75-79 years,1062,160176,2.1387763782419983e-4,31
Alabama,2021,01,80-84 years,1045,103093,3.269831843030549e-4,31
Alabama,2021,01,85+ years,1902,92745,6.615433576977457e-4,31
Alabama,2021,05,10-14 years,12,322310,1.2010076454145027e-6,31
Alabama,2021,05,15-19 years,19,332610,1.8427083545487255e-6,31
Alabama,2021,05,20-24 years,45,351850,4.125658386317483e-6,31
Alabama,2021,05,25-29 years,54,324479,5.368407458944856e-6,31
Alabama,2021,05,30-34 years,77,330321,7.519567232304139e-6,31
Alabama,2021,05,35-39 years,96,310540,9.972223203285848e-6,31
Alabama,2021,05,40-44 years,109,306954,1.1454905400346843e-5,31
Alabama,2021,05,45-49 years,138,300011,1.4838165611346938e-5,31
Alabama,2021,05,50-54 years,187,318776,1.8923187644352552e-5,31
Alabama,2021,05,55-59 years,341,333875,3.294646199925122e-5,31
Alabama,2021,05,60-64 years,451,331923,4.383060859528925e-5,31
Alabama,2021,05,65-69 years,518,291134,5.7395142509479615e-5,31
Alabama,2021,05,70-74 years,635,245537,8.342478309884839e-5,31
Alabama,2021,05,75-79 years,608,160176,1.2244595461121798e-4,31
Alabama,2021,05,80-84 years,601,103093,1.8805444379534544e-4,31
Alabama,2021,05,85+ years,1068,92745,3.7146598634132087e-4,31
Alabama,2021,10,10-14 years,0,322310,0,31
Alabama,2021,10,15-19 years,25,332610,2.424616255985165e-6,31
Alabama,2021,10,20-24 years,47,351850,4.309020981264927e-6,31
Alabama,2021,10,25-29 years,66,324479,6.561386894265934e-6,31
Alabama,2021,10,30-34 years,96,330321,9.375044861054512e-6,31
Alabama,2021,10,35-39 years,106,310540,1.1010996453628123e-5,31
Alabama,2021,10,40-44 years,150,306954,1.5763631284880976e-5,31
Alabama,2021,10,45-49 years,172,300011,1.8493945544577345e-5,31
Alabama,2021,10,50-54 years,256,318776,2.59055403045682e-5,31
Alabama,2021,10,55-59 years,361,333875,3.4878805811524014e-5,31
Alabama,2021,10,60-64 years,537,331923,5.218855169771691e-5,31
Alabama,2021,10,65-69 years,640,291134,7.091291738622965e-5,31
Alabama,2021,10,70-74 years,740,245537,9.72194322726737e-5,31
Alabama,2021,10,75-79 years,681,160176,1.3714752481947277e-4,31
Alabama,2021,10,80-84 years,639,103093,1.9994474140636563e-4,31
Alabama,2021,10,85+ years,1175,92745,4.086821478942435e-4,31
Alabama,2021,12,10-14 years,13,322310,1.3010916158657114e-6,31
Alabama,2021,12,15-19 years,13,332610,1.260800453112286e-6,31
Alabama,2021,12,20-24 years,57,351850,5.2258339560021455e-6,31
Alabama,2021,12,25-29 years,61,324479,6.064312129548818e-6,31
Alabama,2021,12,30-34 years,76,330321,7.4219105150014876e-6,31
Alabama,2021,12,35-39 years,94,310540,9.764468553217393e-6,31
Alabama,2021,12,40-44 years,126,306954,1.3241450279300019e-5,31
Alabama,2021,12,45-49 years,150,300011,1.6128440881898845e-5,31
Alabama,2021,12,50-54 years,224,318776,2.2667347766497174e-5,31
Alabama,2021,12,55-59 years,344,333875,3.323631357109214e-5,31
Alabama,2021,12,60-64 years,458,331923,4.45109062896729e-5,31
Alabama,2021,12,65-69 years,551,291134,6.105158981220709e-5,31
Alabama,2021,12,70-74 years,659,245537,8.657784576715131e-5,31
Alabama,2021,12,75-79 years,710,160176,1.4298787462823154e-4,31
Alabama,2021,12,80-84 years,625,103093,1.955641054444108e-4,31
Alabama,2021,12,85+ years,1214,92745,4.2224691705839286e-4,31
Alabama,2021,02,10-14 years,0,322310,0,28
Alabama,2021,02,15-19 years,21,332610,2.2548931180662037e-6,28
Alabama,2021,02,20-24 years,29,351850,2.943624515316998e-6,28
Alabama,2021,02,25-29 years,58,324479,6.38386019258125e-6,28
Alabama,2021,02,30-34 years,69,330321,7.460275653941815e-6,28
Alabama,2021,02,35-39 years,75,310540,8.625527882306397e-6,28
Alabama,2021,02,40-44 years,103,306954,1.198411302205356e-5,28
Alabama,2021,02,45-49 years,129,300011,1.535657978255083e-5,28
Alabama,2021,02,50-54 years,229,318776,2.5656170566703356e-5,28
Alabama,2021,02,55-59 years,327,333875,3.4978873616088145e-5,28
Alabama,2021,02,60-64 years,514,331923,5.530542582810729e-5,28
Alabama,2021,02,65-69 years,579,291134,7.10276760136962e-5,28
Alabama,2021,02,70-74 years,727,245537,1.0574490082670113e-4,28
Alabama,2021,02,75-79 years,788,160176,1.75699587596501e-4,28
Alabama,2021,02,80-84 years,716,103093,2.4804233625395103e-4,28
Alabama,2021,02,85+ years,1255,92745,4.8327595634728096e-4,28
Alabama,2021,07,10-14 years,0,322310,0,31
Alabama,2021,07,15-19 years,27,332610,2.6185855564639783e-6,31
Alabama,2021,07,20-24 years,42,351850,3.8506144938963175e-6,31
Alabama,2021,07,25-29 years,65,324479,6.461971941322511e-6,31
Alabama,2021,07,30-34 years,75,330321,7.324253797698836e-6,31
Alabama,2021,07,35-39 years,71,310540,7.375290077430158e-6,31
Alabama,2021,07,40-44 years,129,306954,1.3556722904997638e-5,31
Alabama,2021,07,45-49 years,165,300011,1.774128497008873e-5,31
Alabama,2021,07,50-54 years,204,318776,2.0643477430202783e-5,31
Alabama,2021,07,55-59 years,341,333875,3.294646199925122e-5,31
Alabama,2021,07,60-64 years,449,331923,4.363623782546535e-5,31
Alabama,2021,07,65-69 years,504,291134,5.584392244165584e-5,31
Alabama,2021,07,70-74 years,603,245537,7.922069954111114e-5,31
Alabama,2021,07,75-79 years,635,160176,1.278835216745451e-4,31
Alabama,2021,07,80-84 years,586,103093,1.8336090526467958e-4,31
Alabama,2021,07,85+ years,1076,92745,3.7424850309294126e-4,31
Alabama,2021,06,10-14 years,0,322310,0,30
Alabama,2021,06,15-19 years,37,332610,3.7080464608199794e-6,30
Alabama,2021,06,20-24 years,43,351850,4.073705651082374e-6,30
Alabama,2021,06,25-29 years,55,324479,5.650083158951221e-6,30
Alabama,2021,06,30-34 years,64,330321,6.45836423761533e-6,30
Alabama,2021,06,35-39 years,96,310540,1.0304630643395376e-5,30
Alabama,2021,06,40-44 years,108,306954,1.1728141675951446e-5,30
Alabama,2021,06,45-49 years,160,300011,1.7777125949826285e-5,30
Alabama,2021,06,50-54 years,173,318776,1.8090027689244694e-5,30
Alabama,2021,06,55-59 years,301,333875,3.0051166853862474e-5,30
Alabama,2021,06,60-64 years,431,331923,4.328313092695194e-5,30
Alabama,2021,06,65-69 years,495,291134,5.667493319227572e-5,30
Alabama,2021,06,70-74 years,572,245537,7.765292671437163e-5,30
Alabama,2021,06,75-79 years,564,160176,1.1737089201877934e-4,30
Alabama,2021,06,80-84 years,585,103093,1.8914960278583416e-4,30
Alabama,2021,06,85+ years,1049,92745,3.7701942602476324e-4,30
Alabama,2021,03,10-14 years,0,322310,0,31
Alabama,2021,03,15-19 years,26,332610,2.521600906224572e-6,31
Alabama,2021,03,20-24 years,30,351850,2.7504389242116554e-6,31
Alabama,2021,03,25-29 years,67,324479,6.660801847209358e-6,31
Alabama,2021,03,30-34 years,70,330321,6.835970211185581e-6,31
Alabama,2021,03,35-39 years,79,310540,8.206308677703978e-6,31
Alabama,2021,03,40-44 years,99,306954,1.0403996648021443e-5,31
Alabama,2021,03,45-49 years,142,300011,1.5268257368197575e-5,31
Alabama,2021,03,50-54 years,221,318776,2.2363767216053016e-5,31
Alabama,2021,03,55-59 years,332,333875,3.2076907283728455e-5,31
Alabama,2021,03,60-64 years,463,331923,4.499683321423264e-5,31
Alabama,2021,03,65-69 years,547,291134,6.0608384078543146e-5,31
Alabama,2021,03,70-74 years,617,245537,8.105998609762119e-5,31
Alabama,2021,03,75-79 years,662,160176,0.00013332108873787221,31
Alabama,2021,03,80-84 years,690,103093,2.1590277241062954e-4,31
Alabama,2021,03,85+ years,1115,92745,3.8781327225709066e-4,31
Alabama,2021,09,10-14 years,10,322310,1.034201027995822e-6,30
Alabama,2021,09,15-19 years,25,332610,2.5054367978513373e-6,30
Alabama,2021,09,20-24 years,43,351850,4.073705651082374e-6,30
Alabama,2021,09,25-29 years,77,324479,7.91011642253171e-6,30
Alabama,2021,09,30-34 years,104,330321,1.049484188612491e-5,30
