"","date","mortality_rate"
"155",2020-12-28,1.12673814028774
"156",2020-12-29,1.12673814028774
"157",2020-12-30,1.12673814028774
"158",2020-12-31,1.12673814028774
"159",2021-01-01,1.19553943694948
"160",2021-01-02,1.19553943694948
"161",2021-01-03,1.19553943694948
"162",2021-01-04,1.19553943694948
"163",2021-01-05,1.19553943694948
"164",2021-01-06,1.19553943694948
"165",2021-01-07,1.19553943694948
"166",2021-01-08,1.19553943694948
"167",2021-01-09,1.19553943694948
"168",2021-01-10,1.19553943694948
"169",2021-01-11,1.19553943694948
"170",2021-01-12,1.19553943694948
"171",2021-01-13,1.19553943694948
"172",2021-01-14,1.19553943694948
"173",2021-01-15,1.19553943694948
"174",2021-01-16,1.19553943694948
"175",2021-01-17,1.19553943694948
"176",2021-01-18,1.19553943694948
