File,Trial Site ID,Subjects Screened,Subjects Randomized
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1258,74,74
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1260,132,130
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1261,83,82
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1264,229,226
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1265,183,178
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1269,142,141
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1270,155,155
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1231,5896,5615
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1226,1360,1336
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1241,1567,1544
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1185,67,63
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1194,106,102
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1195,158,156
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1197,100,100
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1202,13,12
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1203,70,59
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1229,217,206
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1230,224,205
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1246,141,129
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1247,260,248
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1205,80,79
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1207,69,67
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1208,55,54
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1209,21,20
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1210,62,62
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1212,36,35
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1213,60,55
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1214,55,54
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1217,62,61
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1001,148,112
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1002,87,56
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1003,209,167
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1005,442,427
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1006,296,275
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1007,660,586
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1008,942,934
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1009,414,392
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1011,236,226
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1012,188,175
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1013,882,830
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1015,264,260
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1016,386,371
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1018,351,296
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1019,323,305
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1021,252,248
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1022,176,166
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1024,132,124
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1027,217,212
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1028,296,286
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1030,158,153
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1036,145,129
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1037,360,341
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1038,141,127
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1039,334,308
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1042,269,226
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1044,385,378
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1046,348,337
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1047,332,317
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1048,133,127
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1052,178,159
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1054,214,182
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1055,244,237
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1056,643,613
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1057,455,431
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1066,434,425
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1068,118,116
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1071,249,225
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1072,101,99
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1073,130,116
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1077,298,287
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1079,316,299
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1080,222,212
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1081,209,197
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1082,224,203
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1083,282,245
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1084,597,545
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1085,375,350
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1087,601,570
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1088,262,259
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1089,353,323
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1090,562,511
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1091,468,448
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1092,277,267
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1093,227,194
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1094,190,175
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1095,315,285
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1096,393,361
125742_S1_M5_5351_c4591001-interim-mth6-investigators.pdf,1097,123,117
